
155,GEMS Metropole School - Dubai Branch,"Motor City
",FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
156,ST MARY HIGH SCHOOL MUHAISNAH L.L.C,"MUHAISANAH FOURTH
",FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
157,DEWA Academy,AL HUDAIBA,GRADE 9 - GRADE 12 Academic CalendarFees Fact Sheet
158,Clarion School L.L.C,AL QOUZ FIRST,Pre primary - GRADE 7 Academic CalendarFees Fact Sheet
159,American School of Creative Science L.L.C,"NADD AL SHIBA THIRD
",Pre primary - GRADE 10 Academic CalendarFees Fact Sheet
160,GEMS Founders School Mizhar,AL MIZHAR FIRST,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
161,Dubai Modern Education School,AL MIZHAR FIRST,"KG 1 - GRADE 12,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet"
162,Al Maaref Private School L.L.C,AL QUSAIS FIRST,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
163,Dubai International Private School,AL GARHOUD,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
164,United International Private School L.L.C,MUHAISNAH FIRST,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
165,Dubai Carmel School,"AL QUSAIS FIRST
",FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
166,Queen International School,Deira,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
167,Arab Unity School L.L.C,AL MIZHAR FIRST,FS 2 - YEAR 13 Academic CalendarFees Fact Sheet
168,English Language Private School,UMM HURAIR FIRST,FS 2 - YEAR 13 Academic CalendarFees Fact Sheet
169,Grammar School,AL GARHOUD,FS 2 - YEAR 13 Academic CalendarFees Fact Sheet
170,Al Sadiq Islamic English School,AL QUSAIS FIRST,FS 2 - YEAR 11 Academic CalendarFees Fact Sheet
171,Elite English School,Deira,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
172,Crescent English School,AL QUSAIS FIRST,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
173,The Central School,AL NAHDA SECOND,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
174,The International School of Choueifat,AL SAFOUH FIRST,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
